epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,255.994,1.27694,0.81639,0.98689,0.55349,0.0677333,0.000325926,0.000325926
2,606.266,0.60697,0.78689,0.98033,0.6291,0.0347293,0.000655242,0.000655242
3,955.738,0.52954,0.77377,0.97705,0.64747,0.00170929,0.000968545,0.000968545
4,1185.79,0.52689,0.82295,0.98689,0.69698,0.000946048,0.000946048,0.000946048
5,1509.15,0.48501,0.72131,0.99672,0.77462,0.000905463,0.000905463,0.000905463
6,1853.55,0.33834,0.82623,1,0.53878,0.000855018,0.000855018,0.000855018
7,2202.49,0.27475,0.82951,0.99672,0.55648,0.000795954,0.000795954,0.000795954
8,2505.47,0.22734,0.81311,0.99016,0.54247,0.000729725,0.000729725,0.000729725
9,2633.26,0.17466,0.82951,0.98689,0.54802,0.000657963,0.000657963,0.000657963
10,2768.65,0.16669,0.81639,1,0.53166,0.000582435,0.000582435,0.000582435
11,2992.4,0.13588,0.83934,0.99344,0.47455,0.000505,0.000505,0.000505
12,3120.37,0.1088,0.86885,0.99016,0.42672,0.000427565,0.000427565,0.000427565
13,3248.71,0.08854,0.8623,0.99344,0.50089,0.000352037,0.000352037,0.000352037
14,3378.48,0.104,0.8623,1,0.41883,0.000280275,0.000280275,0.000280275
15,3506.37,0.07993,0.85574,1,0.44038,0.000214046,0.000214046,0.000214046
16,3635.55,0.08711,0.86885,1,0.41799,0.000154982,0.000154982,0.000154982
17,3773.99,0.06506,0.8623,1,0.43139,0.000104537,0.000104537,0.000104537
18,3906.96,0.06651,0.86885,1,0.41626,6.39518e-05,6.39518e-05,6.39518e-05
19,4034.68,0.06412,0.87213,1,0.41657,3.4227e-05,3.4227e-05,3.4227e-05
20,4160.84,0.06858,0.86885,0.99344,0.39517,1.60943e-05,1.60943e-05,1.60943e-05
